0.000000000000000000e+00 7.798000000000000000e+03
1.000000000000000000e+00 9.942000000000000000e+03
2.000000000000000000e+00 1.174800000000000000e+04
3.000000000000000000e+00 1.391000000000000000e+04
4.000000000000000000e+00 1.796300000000000000e+04
5.000000000000000000e+00 2.041000000000000000e+04
6.000000000000000000e+00 2.537400000000000000e+04
7.000000000000000000e+00 2.876800000000000000e+04
8.000000000000000000e+00 3.513600000000000000e+04
9.000000000000000000e+00 3.988500000000000000e+04
1.000000000000000000e+01 4.951500000000000000e+04
1.100000000000000000e+01 5.778600000000000000e+04
1.200000000000000000e+01 6.571900000000000000e+04
1.300000000000000000e+01 7.323500000000000000e+04
1.400000000000000000e+01 8.011000000000000000e+04
1.500000000000000000e+01 8.795600000000000000e+04
1.600000000000000000e+01 9.592300000000000000e+04
