0.000000000000000000e+00 7.783000000000000000e+03
1.000000000000000000e+00 1.367700000000000000e+04
2.000000000000000000e+00 1.910000000000000000e+04
3.000000000000000000e+00 2.548900000000000000e+04
4.000000000000000000e+00 3.327600000000000000e+04
5.000000000000000000e+00 4.384700000000000000e+04
6.000000000000000000e+00 5.374000000000000000e+04
7.000000000000000000e+00 6.577800000000000000e+04
8.000000000000000000e+00 8.383600000000000000e+04
9.000000000000000000e+00 1.016570000000000000e+05
1.000000000000000000e+01 1.214780000000000000e+05
1.100000000000000000e+01 1.408860000000000000e+05
1.200000000000000000e+01 1.618070000000000000e+05
1.300000000000000000e+01 1.881720000000000000e+05
