,date,CR,LO,PC,BG,BS,PU,AO,RN,PR,LC,PV,RE,MN,AL,TN,MO,MI,VC,AN,PD,BI,TS,BZ,MB,BL,VB,VR,PE,SO,NO,TV,MC,TO,AT,CO,FC,VE,LU,RA,GE,BO,VI,PT,IM,UD,SV,PG,PI,CN,SI,AR,PN,FI,PO,SS,SP,FE,VA,LI,TE,FG,AV,RO,CH,VT,LT,RM,BR,CT,BA,PZ,ME,LE,NA,RC,FR,SA,BT,CA,CE,AQ,SR,AG,CS,PA,TA,SU
0,2020-02-07,0.2618678294266194,0.3013553076771537,0.25988503595103185,0.3860663661781592,0.24449321694993603,0.20456184536396085,0.47761419947532113,0.28200384990277955,0.25466061106040233,0.35331519827887276,0.27719048154893694,0.20474113791732307,0.18074648457230288,0.3674477678868831,0.32746975380858173,0.277787362464847,0.9313209685345258,0.3408098165727604,0.24670611001220244,0.2909820320488751,0.2573450277609332,0.7953679278678749,0.34026072462071894,0.42902735507240564,0.24856256722924425,0.3880041609214968,0.2697103979509496,0.31290611301758864,0.44140878716782816,0.3618472043066878,0.17616959035864493,0.18346470329619297,0.809280689705541,0.27195633181655304,0.30018819494806576,0.31905268962107486,0.3427043776071281,0.17160851460211632,0.31518187254466307,1.19516220154699,0.585128367747235,0.20543981333314526,0.21905490086653606,1.8555192857777363,0.22369460456998871,0.6472048488725161,0.16397968537553909,0.22964425401712277,0.49172328988616004,0.14828278854905388,0.21402952737017286,0.23434376897482687,0.42880659881267313,0.2618879383092793,0.22894107954739495,0.6726361723285913,0.3281485028956787,0.3212839149005018,0.3332495730185318,0.20378750825827768,0.26505562347395456,0.25557102049968794,0.19320030528507035,0.18755091760176276,0.15562065044253445,0.14033901619411762,0.6698481966531632,0.20541771434862996,0.3285952714490361,0.45148374586871326,0.1515009711515496,0.365065578995254,0.15611693283543718,0.44031608912451825,0.23007367683314453,0.13547167846785008,0.29051279742985786,0.39769084884836564,0.3058230805690689,0.14837066743802807,0.14811413800518422,0.282201320373109,0.17596486245767118,0.2134320144861078,0.501969260523888,0.4462883181155698,0.11807856559368747
1,2020-02-08,0.3921029599679069,0.35126359812657243,0.3216912321560162,0.4229118735988724,0.2973578874766288,0.3188231925998261,0.43030584874139594,0.37640608083989574,0.3077954676091042,0.4138128963738605,0.27381087500388646,0.23533074778806629,0.1868120599886759,0.4543888807915128,0.27828689994160216,0.32615692464986273,0.8238529739165769,0.2630227471190379,0.21980530129324785,0.4049378822062992,0.3313872015408355,0.783669394878823,0.2896629661739557,0.4573943231383879,0.2428449605940838,0.488036079093163,0.5191134235745083,0.3795061197524295,0.5116292246349007,0.35830642142902686,0.2076133702416828,0.2728167102455194,0.8492475806537052,0.3165182905888492,0.32477399141147495,0.3695834027734453,0.5156458168846061,0.22158228256650792,0.29452059839844047,1.014698324297049,0.606385786794476,0.6183290368700332,0.22169530790960557,2.975043592439858,0.2334514712222033,0.6241825288326954,0.17419708304467538,0.22871079040967693,0.5228543061964102,0.14144813570043616,0.27694476013813485,0.25291287442883353,0.5531699205435054,0.3130777091346379,0.22028239041545003,0.4494302238298673,0.28834057242235117,0.33589654481395054,0.3860155607745967,0.207014186414458,0.2887516017057268,0.19824349556076604,0.2940704263685855,0.17068372318483419,0.09348171867685261,0.1939724820854866,0.5932787064398887,0.25249658392390123,0.3455554230930186,0.4846057967603435,0.13703859969197485,0.28331849313075347,0.14690254078669496,0.46859513300114825,0.2003540367902437,0.11731037918576875,0.3266837468049579,0.40271631062006175,0.2690045441533449,0.1749661406346469,0.19769254102920295,0.23487350378181304,0.18154681716753426,0.23258521669095653,0.44079598978031687,0.3807868930048659,0.1278589517759737
2,2020-02-09,0.7320067237274975,0.23302060875381383,0.21134269161516794,0.48150446902945526,0.2727237668278781,0.3685862052383442,0.32146360931689627,0.523685246099994,0.3966455348489144,0.291019404339479,0.21011996119548118,0.14954253355682082,0.23753898371934926,0.2581668175808954,0.253811714965522,0.25903685006938076,0.9896252198564754,0.3338013392213169,0.2531876234435951,0.26804458635075984,0.23576587754756653,0.33519017603705414,0.17915715342873986,0.3773997722806348,0.22701853739867675,0.21499923987704148,0.3676923762856849,0.3050121341303211,0.3134734240324268,0.3120535924191476,0.22020519428162413,0.2677545132987156,0.5995163764941417,0.15457217080778268,0.26651267439428933,0.3253526908757372,0.6421885788816828,0.9861281843877691,0.2633439138997093,0.8844373590904476,0.6205112924233251,0.5559720958781198,0.18532693956719992,1.1443820983282331,0.1769992679951902,0.5345165977628179,0.12574639409636307,0.18914425247899777,0.4511498274060381,0.08634973848252853,0.20448867380710978,0.12509603685817045,0.35110610812187204,0.26049025742503784,0.1524266744875369,0.3119032214903639,0.523647034033724,0.23739087717870908,0.2799829673448299,0.15387886818066562,0.22236727523015606,0.16480301774556683,0.21486489896239455,0.13966153783667512,0.10741299618841382,0.1863521752072844,0.4453803197700574,0.17441900197379367,0.3158850166175207,0.4819748299251503,0.10331980719295196,0.2306576843004932,0.14721660092782635,0.3831612332359127,0.15044691755339837,0.08833019127649033,0.2702261369288584,0.2781373375688585,0.25559001766857053,0.1997546881725577,0.1306262559299936,0.17808091463128883,0.1327318330849924,0.15901237907055588,0.33338444486567037,0.25677538937507843,0.10542647949715633
3,2020-02-10,0.25594396370649436,0.21794310423605925,0.24333663111129114,0.3804766836373308,0.21509114936316076,0.2110717003526047,0.5055979494206516,0.2652527356576195,0.3021186376735768,0.3396502091768549,0.2745194337617853,0.17846659950337815,0.17322128937280326,0.3905774162990772,0.28115593283754864,0.25918212670931473,0.9132632586850868,0.2554097901995551,0.24300023763841141,0.26074965464465943,0.31487725543367445,0.6512094745285012,0.27642325976300414,0.4129872804373779,0.1879578434276269,0.38299846750500527,0.2563580794959455,0.2506025823105907,0.3989829313258775,0.34082482419786136,0.16557936088203298,0.16297869554297822,0.6783983673407806,0.40204215100371116,0.29049461257333403,0.30956770205925194,0.35600707149861904,0.16386848865401518,0.26163688151819325,1.094521407526955,0.47400211163135914,0.49470007790974885,0.20309177995428826,0.5260342820831159,0.20051725327449046,0.6148540053936523,0.16177383452862465,0.16160291000802604,0.4395333487249697,0.1684639997039746,0.15617454542308076,0.16525329700181995,0.3992342825567022,0.216877548916647,0.19448799735988043,0.3729056613541785,0.28518652030517044,0.3207307709062302,0.3600868951941168,0.210145180588259,0.2574016600091407,0.2433020468745083,0.17337797954163006,0.18568925377235712,0.09938846615731543,0.18259257110516303,0.6191283347665395,0.20823918005109932,0.34575415422919953,0.4455804724386782,0.14714394509284676,0.31607730684888014,0.16727669626515385,0.4538448294580409,0.20552077143087466,0.11115872347883389,0.3100941470360889,0.35854100456093674,0.2754422854510862,0.15338745412143953,0.14701631368944,0.2508546118934514,0.15474176469233727,0.17124846123033988,0.4956107786018457,0.3358268283320938,0.13245793562738983
4,2020-02-11,0.2758184423538281,0.23922533284073833,0.24962518930010866,0.3858697862614571,0.2343306698370553,0.2541691463437407,0.6280114860691012,0.230851394427023,0.29213767852807565,0.34682499785216053,0.2790160178097775,0.22276434642852114,0.1844393418615005,0.37758954718185983,0.312684863894186,0.28419682695219844,1.0076039152301033,0.29692025919288223,0.2258647667860458,0.28214428099876215,0.2911421249506981,0.7358483245315331,0.2948457352874579,0.44586451701002,0.24901452179731565,0.3921401253224092,0.24864535310780408,0.26243438773928196,0.40343050431639443,0.3318669734095926,0.18492393374604352,0.193358407687346,0.7172041993334486,0.3116644740636924,0.2584054442210966,0.3125305385295889,0.36520475408363295,0.14895912466992495,0.2936164789100522,1.2596309265592214,0.5381691063646457,0.20048427429493967,0.2185569954227247,0.6825608960068376,0.22246202105552357,0.5895171809335386,0.16847225597899695,0.19118046489282148,0.6217056529871544,0.12187711079171577,0.21703439709141273,0.15608905100053552,0.40925372764904844,0.28394386175855174,0.22278887813497136,0.4440777431734322,0.2912866086892934,0.3146778012012493,0.3585564300212833,0.21322054409026495,0.23338733112254362,0.24165498656703768,0.2228870242376081,0.16296127178400874,0.12199929631711708,0.16606612458186992,0.6796862026656237,0.20525016482178424,0.32876997849191264,0.46336850570692373,0.13405459435222775,0.31711709593828,0.16670217148352817,0.43187934330090716,0.19212586219610614,0.12388961812316109,0.298001127179454,0.3388333658412365,0.3087168294868374,0.14805586515644878,0.154905925749415,0.26897364279907604,0.1651066613542258,0.20043645538265145,0.5026849632151785,0.4323929013793497,0.10631551550606189
5,2020-02-12,0.3687121490782333,0.287698691486329,0.2616211579061004,0.3901431894095686,0.23618482718549097,0.24464756984352395,0.5117203905888427,0.2347161026292471,0.3198912228100896,0.35548018167322765,0.32550035822501966,0.1925139585705399,0.19353348749644572,0.34164625755131756,0.30091933016376343,0.2535438531316185,1.2577628153318805,0.2277412354399736,0.2379239553203181,0.2624152826736193,0.2806003368568469,0.714302069430679,0.3093804121886294,0.4352501755729297,0.2306189977050418,0.39391525596059834,0.24233674334575875,0.29857103641013627,0.4122022482777396,0.32003029953136203,0.20587503780605607,0.2348142506689566,0.7995654787317407,0.3473677484792153,0.25805498438666213,0.28185039321563105,0.34419175417656334,0.1932445780877581,0.27232857195678123,1.141303743938471,0.5051138189627441,0.2034971802268021,0.22067851542946784,0.5928793665719876,0.23461712365512175,0.5662758896957621,0.17206102823864786,0.20308896329537654,0.46988765476439404,0.17463826478048075,0.14229421502493983,0.20120084134548485,0.3951713509994341,0.2802925579316327,0.1847041777066214,0.4413691347967841,0.241919579425157,0.36985005305670704,0.38732618078887143,0.18434694775556573,0.28727361600305534,0.276184330584788,0.1962601363641232,0.17800131433370167,0.12223483859822452,0.1700092019017785,0.6639552443529205,0.2639256248250965,0.33279915512507435,0.47638965586616333,0.1297870020488799,0.3001445660877871,0.14532306555355984,0.4717198147331163,0.2106857472097197,0.15703198186970932,0.306548310839526,0.39402957634590324,0.3219073803510564,0.14514634791347583,0.1734050068883343,0.2638129418974044,0.1672245362529129,0.19087667490449997,0.5287077105549319,0.39842009792959593,0.10176912582324414
6,2020-02-13,0.2772131762941728,0.3131737177525976,0.2396698617289493,0.4018224980861002,0.24055194804454802,0.2679962542991365,0.5716218181222389,0.24706138355305185,0.250030516219388,0.32145720227354824,0.24957468781864167,0.1962571809144927,0.24490695311534658,0.3865569432944391,0.3738743673100249,0.3058319829913668,1.2885479413658423,0.25402578537913295,0.22703332315919222,0.2678282581108148,0.2905433210165101,0.7250857680168313,0.3373515113436618,0.4856835792780654,0.2225892604946915,0.420517495293154,0.24895717175567247,0.2732035442858893,0.36267608696240733,0.34708193276470345,0.18200544149442063,0.18571163358820844,0.7900031187009326,0.3190338883778725,0.2998985631962763,0.319309867363969,0.3921992985501963,0.18907134669774542,0.2864655478122746,1.1594973616909912,0.5389798819071026,0.2032984944819626,0.23682837294466927,0.5344090963438711,0.2566003757376206,0.6137778886842429,0.16587238269322116,0.19005181714567668,0.4534125162040648,0.18198802544599832,0.21245418280231643,0.23359470369203608,0.43084816174221113,0.30580139629452996,0.21362029198727703,0.510500394815716,0.32066942958511285,0.36286534383649083,0.3564591556806566,0.17491867256287927,0.29971855069839765,0.26136988827114754,0.17342383021304644,0.22155718224586754,0.14086142573675067,0.1928430031980509,0.67144423302447,0.24209040984563754,0.3363573748713599,0.481755871345757,0.1333128967892254,0.3408915916657293,0.189418161561924,0.47194175390140164,0.19029415273588837,0.12386298836057559,0.3309778126130668,0.3815839779676113,0.3879298918965368,0.15714869247286326,0.15397249222101042,0.26241859906678106,0.1855970318303084,0.23537709420543637,0.4911044486217786,0.4265932628555249,0.1024326765219893
7,2020-02-14,0.2762628238582168,0.27011691815748434,0.2632568803236776,0.4458563810238804,0.3514752689348221,0.29554448047731813,0.6566426117546095,0.31975425688776793,0.2999270295347738,0.36587467691856096,0.34621826338462447,0.20570365398805446,0.18871703375216883,0.4393064835670275,0.3489272198220241,0.31224177289857474,1.0268616709702238,0.2836223545326262,0.24790850328110137,0.31727455513042174,0.3429857105987711,0.8511191668365914,0.3253413850821873,0.4677378892342934,0.2985019341041171,0.4540308712284235,0.3750342171488486,0.40031716431928915,0.4089422538969749,0.36734520592288994,0.20061707384856117,0.1764886053317789,0.821758247183193,0.36629857340488464,0.29105351956634906,0.36782442580889274,0.44394876361517244,0.23554900951241634,0.3298645394938462,1.265518377200707,0.5917076835554849,0.27710146943375036,0.2635185415556874,0.6888666225072947,0.27645213797854706,0.6880793632765897,0.18415042620079822,0.23389527932817025,0.5103516515548876,0.18866091153139117,0.2153776869722305,0.20366388817908043,0.4853556666794257,0.2698801455383402,0.21974092856777017,0.5020277360588615,0.3268900010297176,0.3973505176342531,0.47140383619440857,0.22744138630508792,0.24110027068933618,0.1427534661503219,0.20069538220639746,0.21306094925909125,0.10241769213802698,0.22134162994227416,0.7524158693133335,0.24322883933256775,0.331049762076102,0.43266340345769955,0.15480407761679166,0.3675720677796348,0.17273478085681704,0.508228704333992,0.1868732686251562,0.17059186060103862,0.3211775792419194,0.40696838893644416,0.3698354900696363,0.16192660945692586,0.15366389922210888,0.29160240555159306,0.20976409077952682,0.19159635173732867,0.49286135543501014,0.40581991524916544,0.09891718902424727
8,2020-02-15,0.31194400721127025,0.34039214983865235,0.32793953917820307,0.6088060903967342,0.9246356622859059,0.40066980922618206,0.5331761633279363,0.591824833389885,0.25501599274889636,0.395415671202567,0.33690306864297925,0.24754605494149864,0.3203652246053809,0.4212184765129885,0.3170211645277579,0.33669569812184,0.897103258438209,0.3075426468498386,0.2728752379860843,0.4479606149879684,0.30067238825356507,0.6868671528826406,0.2762607980383339,0.46513308626050226,0.22317138421517949,0.4425127238628854,0.4980731243856449,0.37736477841763566,0.5244641298178325,0.37769836624258746,0.2618266804392213,0.2591323323831544,0.8480012463973933,0.35780892585664836,0.3136145413105385,0.32532749967082214,0.6303785885515293,0.8142158422829927,0.3465181263607901,1.0799051348658524,0.6752023086216422,0.2994576524125514,0.3615129432606265,0.7499602883541395,0.25415229556579855,0.7143015223460388,0.20557288246023644,0.2602432617760974,0.585353307231991,0.19560934660039117,0.2861890455526153,0.3442455004314425,0.6589223960264708,0.2552836753133721,0.20369616941678656,0.4164636943605187,0.38071402377034524,0.3757024583490465,0.463445753304109,0.25603944385074706,0.3276004412060741,0.24475786233128657,0.298046098065296,0.20385621641157017,0.11072296893105461,0.2318200293721738,0.650039972629281,0.2555392309231052,0.3282082945212331,0.5138670945156442,0.12832192777037862,0.32254983062720793,0.3413270509566422,0.5256402124942369,0.18083255870686596,0.156959995906042,0.38531572368222866,0.37298697731612024,0.31184393056229176,0.20390654665321417,0.190391613907154,0.2694870823991558,0.17342815245859064,0.20340815454050612,0.4689532734704733,0.478434121776839,0.12035419619767229
9,2020-02-16,0.3356246563163337,0.2919968659065349,0.2082191510434366,0.43215508293774635,0.6205112810848546,0.4008592687611074,0.34030334448839095,0.5244309489415497,0.2677253676906956,0.3547885386038177,0.27795930281005105,0.2720487193420208,0.31473557672842906,0.3286639639038458,0.24965861494071373,0.23236563407737953,0.7211765194431647,0.3145519895523012,0.19687592967349166,0.4135739551641342,0.22668132998579016,0.3681739215944478,0.22865729675648946,0.42823121477459763,0.2367103207262217,0.3138522938759305,0.6106230409533223,0.2479893045296834,0.5835005559984842,0.40434627075132257,0.23786861773476062,0.27061364980156233,0.71049903807016,0.3186343238779554,0.286859522764384,0.28962301895298553,0.8273208164774465,0.4879704184615801,0.31809686231945566,0.6645864475400125,0.6674165849612962,0.3534606556725573,0.24838963378078616,0.4239097588133605,0.6104488424213224,0.6588055704077167,0.19897672873060343,0.20611724968808934,0.60963600611639,0.13417263119431141,0.18042834104957273,0.22692845546008547,0.4297704818262194,0.25765583298086864,0.15935567890833,0.3590179761423186,0.5759772200137172,0.2924510451015844,0.34376487765131053,0.21121001965696154,0.25051692653027374,0.1520983967460181,0.18829399975531658,0.17016326491615577,0.1969559863195235,0.22356344348629928,0.5635406480257358,0.18594095076969216,0.31491083771532374,0.5951321236200995,0.1012514501844425,0.32400224662551774,0.1760305689639274,0.4566345044999754,0.14682159993140115,0.18419958747811738,0.33714281010863617,0.34144688987508104,0.344821958916079,0.2607285961098807,0.12807526037810293,0.20889755844959979,0.1420816504599954,0.16760464787874563,0.3785304791818311,0.33923648884294505,0.08988870182580748
