0.000000000000000000e+00 5.683000000000000000e+03
1.000000000000000000e+00 6.650000000000000000e+03
2.000000000000000000e+00 8.077000000000000000e+03
3.000000000000000000e+00 9.529000000000000000e+03
4.000000000000000000e+00 1.165800000000000000e+04
5.000000000000000000e+00 1.454300000000000000e+04
6.000000000000000000e+00 1.708900000000000000e+04
7.000000000000000000e+00 1.952200000000000000e+04
8.000000000000000000e+00 2.214100000000000000e+04
9.000000000000000000e+00 2.515000000000000000e+04
